workload,source_trace_id,requested_ratio,D_base,D_guarded,effective_ratio,guard_applied,source_start_inclusive,source_end_exclusive,test_relative_start,test_relative_end,window_records,unique_pages,misses,lru_replacement_decisions,write_count,write_ratio,page_entry_count,selection_eligible,eligibility_reason,source_raw_sha256,source_split_sha256
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2800000,2900000,400000,500000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2810000,2910000,410000,510000,100000,240,240,0,88888,0.88888,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2820000,2920000,420000,520000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2830000,2930000,430000,530000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2840000,2940000,440000,540000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2850000,2950000,450000,550000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2860000,2960000,460000,560000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2870000,2970000,470000,570000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2880000,2980000,480000,580000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2890000,2990000,490000,590000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2900000,3000000,500000,600000,100000,241,241,0,88888,0.88888,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2400000,2500000,0,100000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2410000,2510000,10000,110000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2420000,2520000,20000,120000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2430000,2530000,30000,130000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2440000,2540000,40000,140000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2450000,2550000,50000,150000,100000,241,241,0,88888,0.88888,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2460000,2560000,60000,160000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2470000,2570000,70000,170000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
