row_id,run_id,source_job_id,track,workload,policy,seed,cost_profile,dram_hit_weight,nvm_read_weight,nvm_write_weight,demotion_weight,dram_hits,nvm_reads,nvm_writes,total_demotions,raw_access_count,reactive_demotions,proactive_demotions,emergency_demotions,weighted_cost,weighted_cost_per_access,evidence_mode,evidence_status
standard__canneal__proactive_lru::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__proactive_lru,standard,canneal,proactive_lru,N/A,migration_expensive,1,2,8,20,598566,1,1433,1320,600000,0,1320,0,636432,1.06072,offline_raw_counter_recompute,candidate-ready
standard__canneal__reactive_lru::read_light,stage11-standard-cost-profiles-v2-r6,standard__canneal__reactive_lru,standard,canneal,reactive_lru,N/A,read_light,1,2,4,8,598566,1,1433,1314,600000,1314,0,0,614812,1.0246866666666667,offline_raw_counter_recompute,candidate-ready
standard__canneal__reactive_lru::default,stage11-standard-cost-profiles-v2-r6,standard__canneal__reactive_lru,standard,canneal,reactive_lru,N/A,default,1,2,8,10,598566,1,1433,1314,600000,1314,0,0,623172,1.03862,offline_raw_counter_recompute,candidate-ready
standard__canneal__reactive_lru::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__reactive_lru,standard,canneal,reactive_lru,N/A,write_expensive,1,2,12,10,598566,1,1433,1314,600000,1314,0,0,628904,1.0481733333333334,offline_raw_counter_recompute,candidate-ready
standard__canneal__reactive_lru::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__reactive_lru,standard,canneal,reactive_lru,N/A,migration_expensive,1,2,8,20,598566,1,1433,1314,600000,1314,0,0,636312,1.06052,offline_raw_counter_recompute,candidate-ready
standard__canneal__tpp_inspired::read_light,stage11-standard-cost-profiles-v2-r6,standard__canneal__tpp_inspired,standard,canneal,tpp_inspired,N/A,read_light,1,2,4,8,598566,1,1433,1320,600000,0,1320,0,614860,1.0247666666666666,offline_raw_counter_recompute,candidate-ready
standard__canneal__tpp_inspired::default,stage11-standard-cost-profiles-v2-r6,standard__canneal__tpp_inspired,standard,canneal,tpp_inspired,N/A,default,1,2,8,10,598566,1,1433,1320,600000,0,1320,0,623232,1.03872,offline_raw_counter_recompute,candidate-ready
standard__canneal__tpp_inspired::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__tpp_inspired,standard,canneal,tpp_inspired,N/A,write_expensive,1,2,12,10,598566,1,1433,1320,600000,0,1320,0,628964,1.0482733333333334,offline_raw_counter_recompute,candidate-ready
standard__canneal__tpp_inspired::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__tpp_inspired,standard,canneal,tpp_inspired,N/A,migration_expensive,1,2,8,20,598566,1,1433,1320,600000,0,1320,0,636432,1.06072,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-2026::read_light,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-2026,standard,dedup_pressure,capd,2026,read_light,1,2,4,8,599729,4,267,252,600000,0,189,63,602821,1.0047016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-2026::default,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-2026,standard,dedup_pressure,capd,2026,default,1,2,8,10,599729,4,267,252,600000,0,189,63,604393,1.0073216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-2026::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-2026,standard,dedup_pressure,capd,2026,write_expensive,1,2,12,10,599729,4,267,252,600000,0,189,63,605461,1.0091016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-2026::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-2026,standard,dedup_pressure,capd,2026,migration_expensive,1,2,8,20,599729,4,267,252,600000,0,189,63,606913,1.0115216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-3136859::read_light,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-3136859,standard,dedup_pressure,capd,3136859,read_light,1,2,4,8,599729,4,267,252,600000,0,189,63,602821,1.0047016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-3136859::default,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-3136859,standard,dedup_pressure,capd,3136859,default,1,2,8,10,599729,4,267,252,600000,0,189,63,604393,1.0073216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-3136859::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-3136859,standard,dedup_pressure,capd,3136859,write_expensive,1,2,12,10,599729,4,267,252,600000,0,189,63,605461,1.0091016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-3136859::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-3136859,standard,dedup_pressure,capd,3136859,migration_expensive,1,2,8,20,599729,4,267,252,600000,0,189,63,606913,1.0115216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-42::read_light,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-42,standard,dedup_pressure,capd,42,read_light,1,2,4,8,599729,4,267,252,600000,0,189,63,602821,1.0047016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-42::default,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-42,standard,dedup_pressure,capd,42,default,1,2,8,10,599729,4,267,252,600000,0,189,63,604393,1.0073216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-42::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-42,standard,dedup_pressure,capd,42,write_expensive,1,2,12,10,599729,4,267,252,600000,0,189,63,605461,1.0091016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__capd__seed-42::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__capd__seed-42,standard,dedup_pressure,capd,42,migration_expensive,1,2,8,20,599729,4,267,252,600000,0,189,63,606913,1.0115216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__oracle::read_light,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__oracle,standard,dedup_pressure,oracle,N/A,read_light,1,2,4,8,599729,4,267,252,600000,0,189,63,602821,1.0047016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__oracle::default,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__oracle,standard,dedup_pressure,oracle,N/A,default,1,2,8,10,599729,4,267,252,600000,0,189,63,604393,1.0073216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__oracle::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__oracle,standard,dedup_pressure,oracle,N/A,write_expensive,1,2,12,10,599729,4,267,252,600000,0,189,63,605461,1.0091016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__oracle::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__oracle,standard,dedup_pressure,oracle,N/A,migration_expensive,1,2,8,20,599729,4,267,252,600000,0,189,63,606913,1.0115216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__proactive_clock::read_light,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__proactive_clock,standard,dedup_pressure,proactive_clock,N/A,read_light,1,2,4,8,599729,4,267,252,600000,0,189,63,602821,1.0047016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__proactive_clock::default,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__proactive_clock,standard,dedup_pressure,proactive_clock,N/A,default,1,2,8,10,599729,4,267,252,600000,0,189,63,604393,1.0073216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__proactive_clock::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__proactive_clock,standard,dedup_pressure,proactive_clock,N/A,write_expensive,1,2,12,10,599729,4,267,252,600000,0,189,63,605461,1.0091016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__proactive_clock::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__proactive_clock,standard,dedup_pressure,proactive_clock,N/A,migration_expensive,1,2,8,20,599729,4,267,252,600000,0,189,63,606913,1.0115216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__proactive_lru::read_light,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__proactive_lru,standard,dedup_pressure,proactive_lru,N/A,read_light,1,2,4,8,599729,4,267,252,600000,0,189,63,602821,1.0047016666666666,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__proactive_lru::default,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__proactive_lru,standard,dedup_pressure,proactive_lru,N/A,default,1,2,8,10,599729,4,267,252,600000,0,189,63,604393,1.0073216666666667,offline_raw_counter_recompute,candidate-ready
standard__dedup_pressure__proactive_lru::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__dedup_pressure__proactive_lru,standard,dedup_pressure,proactive_lru,N/A,write_expensive,1,2,12,10,599729,4,267,252,600000,0,189,63,605461,1.0091016666666666,offline_raw_counter_recompute,candidate-ready
