workload,seed,comparison,feature,ks,warning,outside_train_range_ratio
streamcluster_pressure,2026,A_vs_C_total_shift,selector_one_minus_g_a,0.0006465712815091895,none,0.0
streamcluster_pressure,2026,A_vs_C_total_shift,selector_one_minus_g_w,0.00057851031876811,none,0.0
streamcluster_pressure,2026,A_vs_C_total_shift,selector_r_lru,0.0,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,B_t,0.0,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,K_t,0.0,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,decision_interval,0.052785382967684924,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,dirty_ratio,0.34033603146960156,large,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,dirty_state,0.0,binary,
streamcluster_pressure,2026,B_vs_C_policy_shift,normalized_residency,0.0,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,original_r_lru,0.057668363818632995,none,0.008710324699014957
streamcluster_pressure,2026,B_vs_C_policy_shift,recent_frequency,0.0,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,selector_clean,0.007252326643664597,binary,
streamcluster_pressure,2026,B_vs_C_policy_shift,selector_g_delta,0.012354995012616388,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,selector_one_minus_g_a,0.00042560466813462705,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,selector_one_minus_g_w,0.00041783293464634635,none,0.0
streamcluster_pressure,2026,B_vs_C_policy_shift,selector_r_lru,0.0,none,0.0
dedup_pressure,3136859,A_vs_B_split_drift,B_t,0.0,none,0.0
dedup_pressure,3136859,A_vs_B_split_drift,K_t,0.0,none,0.0
dedup_pressure,3136859,A_vs_B_split_drift,decision_interval,0.03242415250499231,none,0.0007538635506973238
dedup_pressure,3136859,A_vs_B_split_drift,dirty_ratio,0.06744961837667496,none,0.00904295403165034
dedup_pressure,3136859,A_vs_B_split_drift,dirty_state,0.0022249058598126205,binary,
dedup_pressure,3136859,A_vs_B_split_drift,normalized_residency,0.0,none,0.0
dedup_pressure,3136859,A_vs_B_split_drift,original_r_lru,0.012514457783435939,none,0.002072343632253203
dedup_pressure,3136859,A_vs_B_split_drift,recent_frequency,0.0,none,0.0
dedup_pressure,3136859,A_vs_B_split_drift,selector_clean,0.003055350481942498,binary,
dedup_pressure,3136859,A_vs_B_split_drift,selector_g_delta,0.030650962210367894,none,0.0
dedup_pressure,3136859,A_vs_B_split_drift,selector_one_minus_g_a,0.005620933582280108,none,0.0
dedup_pressure,3136859,A_vs_B_split_drift,selector_one_minus_g_w,0.002272743211773183,none,0.0
dedup_pressure,3136859,A_vs_B_split_drift,selector_r_lru,0.0,none,0.0
dedup_pressure,3136859,A_vs_C_total_shift,B_t,0.0,none,0.0
dedup_pressure,3136859,A_vs_C_total_shift,K_t,0.0,none,0.0
dedup_pressure,3136859,A_vs_C_total_shift,decision_interval,0.034694936615019656,none,0.0003695491500369549
dedup_pressure,3136859,A_vs_C_total_shift,dirty_ratio,0.9937199852234947,large,0.9940893978574067
dedup_pressure,3136859,A_vs_C_total_shift,dirty_state,0.7825140450170228,binary,
dedup_pressure,3136859,A_vs_C_total_shift,normalized_residency,0.0005079423716291097,none,0.0005079423716291097
dedup_pressure,3136859,A_vs_C_total_shift,original_r_lru,0.30253307052942763,large,0.20585519024750645
dedup_pressure,3136859,A_vs_C_total_shift,recent_frequency,0.0,none,0.0
dedup_pressure,3136859,A_vs_C_total_shift,selector_clean,0.33052634249057566,binary,
dedup_pressure,3136859,A_vs_C_total_shift,selector_g_delta,0.3130119265674719,large,0.0
